guest,word,score
麦琳性格,忘记,-0.873412155492
麦琳性格,可能,-0.170657040911
麦琳性格,抵触,-1.11575060401
麦琳性格,反感,-2.64258471633
麦琳性格,恨,-0.981236005568
麦琳性格,恨,-0.981236005568
麦琳性格,希望,1.03220855601
麦琳性格,拐卖,-0.842735237972
麦琳性格,人身攻击,-2.0
麦琳性格,恶意,-0.670811565857
麦琳性格,辱骂,-1.97400250261
麦琳性格,不争,-1.04350768399
麦琳性格,稳定,0.973763232354
麦琳性格,揪心,-2.23411003193
麦琳性格,值得,2.36084310759
麦琳性格,安抚,0.0878698448087
麦琳性格,辩护,-0.157254691547
麦琳性格,愚,0.258595744985
麦琳性格,蠢,-1.24456036241
麦琳性格,问题,-1.12998368608
麦琳性格,人性,-0.431080846944
麦琳性格,问题,-1.12998368608
麦琳性格,很多,0.590056545724
麦琳性格,勒索,-0.172365162349
麦琳性格,反复,-0.352456500739
麦琳性格,攻击,-0.949389992035
麦琳性格,不好,-1.38899748421
麦琳性格,好,2.07329376355
麦琳性格,骂,-0.907804124384
麦琳性格,盈盈,-1.25758286253
麦琳性格,勇敢,2.49594765068
麦琳性格,生疏,-0.714254639967
麦琳性格,手忙脚乱,-0.857356828057
麦琳性格,活脱脱,-0.904998363748
麦琳性格,初出茅庐,1.32259964296
麦琳性格,新手,0.387399820096
麦琳性格,甜美,4.48307980713
麦琳性格,惊人,0.438049772092
麦琳性格,可能,-0.170657040911
麦琳性格,了解,1.25059574039
麦琳性格,口舌,-1.08049844118
麦琳性格,了解,1.25059574039
麦琳性格,沸沸扬扬,-0.596980597497
麦琳性格,典型性,-0.134539919874
麦琳性格,随便,1.0
麦琳性格,如日中天,1.11538270428
麦琳性格,光芒,2.47568989875
麦琳性格,口舌,-1.08049844118
麦琳性格,接受,0.182986337777
麦琳性格,爱人,1.9606614446
麦琳性格,正常,-0.108867271984
麦琳性格,骂,-0.907804124384
麦琳性格,乌合之众,-0.420624941681
麦琳性格,发泄,-1.50541471359
麦琳性格,好感,-0.275459423552
麦琳性格,依然,1.02182474571
麦琳性格,不适,-1.07768342918
麦琳性格,好,2.07329376355
麦琳性格,令人窒息,-2.0
麦琳性格,的确,0.269080199206
麦琳性格,情真意切,0.989289116668
麦琳性格,难,-1.44339297061
麦琳性格,好,2.07329376355
麦琳性格,暗示,-0.0298753850711
麦琳性格,攻击,-0.949389992035
麦琳性格,饶有兴致,2.0
麦琳性格,典型,-0.280010326294
麦琳性格,值得,2.36084310759
麦琳性格,知道,-0.316330302785
麦琳性格,当真,-0.797963371811
麦琳性格,根本,-1.027889243
麦琳性格,不是,-2.0
麦琳性格,典型,-0.280010326294
麦琳性格,典型,-0.280010326294
麦琳性格,清醒,-1.47050672345
麦琳性格,重点,-0.432946500252
麦琳性格,问题,-1.12998368608
麦琳性格,实际,0.229231096014
麦琳性格,差,-1.33719907363
麦琳性格,不是,-2.0
麦琳性格,伤心,-2.14533898418
麦琳性格,爱人,1.9606614446
麦琳性格,爱人,1.9606614446
麦琳性格,肯定,-0.43096083708
麦琳性格,问题,-1.12998368608
麦琳性格,需要,0.441937124228
麦琳性格,改善,2.0
麦琳性格,问题,-1.12998368608
麦琳性格,失去,-0.304262856127
麦琳性格,理智,-0.152636653762
麦琳性格,能力,0.192700928797
麦琳性格,刻薄,-0.605624674902
麦琳性格,差,-1.33719907363
麦琳性格,爱人,1.9606614446
麦琳性格,难以,-0.929265468745
麦琳性格,压抑,-1.51708524803
麦琳性格,爱人,1.9606614446
麦琳性格,受不了,-2.88819799243
麦琳性格,完全,-0.732156895064
麦琳性格,说白了,2.0
麦琳性格,稳定,0.973763232354
麦琳性格,愿意,0.943207452628
麦琳性格,迁就,1.06739688179
麦琳性格,一再,-0.769910121342
麦琳性格,耐心,0.548237477948
麦琳性格,问题,-1.12998368608
麦琳性格,不是,-2.0
麦琳性格,认同,1.41206918172
麦琳性格,成为,1.47322230702
麦琳性格,其实,0.162622900364
麦琳性格,迎合,0.424432472933
麦琳性格,助长,-0.529116614939
麦琳性格,受害者,-1.9371987132
麦琳性格,苦,-0.581386749602
麦琳性格,歧视,-1.6390500817
麦琳性格,完全,-0.732156895064
麦琳性格,不是,-2.0
麦琳性格,涉嫌,-0.585026405086
麦琳性格,黑,-0.647928502822
麦琳性格,强行,-1.65584509979
麦琳性格,问题,-1.12998368608
麦琳性格,八卦,0.42972438734
麦琳性格,干,-1.03530945922
麦琳性格,干,-1.03530945922
麦琳性格,问题,-1.12998368608
麦琳性格,懒,-0.34031178925
麦琳性格,八卦,0.42972438734
麦琳性格,干,-1.03530945922
麦琳性格,嫉妒,-0.156517307013
麦琳性格,其实,0.162622900364
麦琳性格,喜欢,2.3566957262
麦琳性格,好看,1.26216032158
麦琳性格,自然,0.359228262276
麦琳性格,无理取闹,-0.334371969093
麦琳性格,难,-1.44339297061
麦琳性格,喜欢,2.3566957262
麦琳性格,精力,2.0
麦琳性格,自觉,-0.00141594193776
麦琳性格,害怕,-1.98511596807
麦琳性格,自卑,-1.08641599357
麦琳性格,低调,1.57124553561
麦琳性格,讨厌,-3.21533460349
麦琳性格,不适,-1.07768342918
麦琳性格,知道,-0.316330302785
麦琳性格,长线,0.886139833809
麦琳性格,可能,-0.170657040911
麦琳性格,可能,-0.170657040911
麦琳性格,获得,2.0
麦琳性格,成就,2.0
麦琳性格,实在,0.507501042206
麦琳性格,获得,2.0
麦琳性格,成就,2.0
麦琳性格,获得,2.0
麦琳性格,成就,2.0
麦琳性格,成就,2.0
麦琳性格,其实,0.162622900364
麦琳性格,获得,2.0
麦琳性格,成就,2.0
麦琳性格,问题,-1.12998368608
麦琳性格,必要,-1.2387943492
麦琳性格,莫名其妙,-2.3226973793
麦琳性格,美好,2.21483965864
麦琳性格,一文不值,-2.0
麦琳性格,肯定,-0.43096083708
麦琳性格,低调,1.57124553561
麦琳性格,很多,0.590056545724
李行亮性格,公开,1.18597621742
李行亮性格,突然,-0.978321592012
李行亮性格,必须,0.327598562712
李行亮性格,正义,0.623126144634
李行亮性格,品味,3.04389337463
李行亮性格,其实,0.162622900364
李行亮性格,人格,-0.343333531348
李行亮性格,知道,-0.316330302785
李行亮性格,明明,-2.56350192128
李行亮性格,公平,0.252180507037
李行亮性格,知道,-0.316330302785
李行亮性格,自我,0.484853567827
李行亮性格,感动,0.919392125333
李行亮性格,诋毁,0.115935673844
李行亮性格,离婚,-0.340345729153
李行亮性格,希望,1.03220855601
李行亮性格,离婚,-0.340345729153
李行亮性格,很多,0.590056545724
李行亮性格,朋友,0.997629821831
李行亮性格,喜欢,2.3566957262
李行亮性格,落落大方,2.72114901945
李行亮性格,直肠子,-1.39964315945
李行亮性格,特别,0.324544227082
李行亮性格,好,2.07329376355
李行亮性格,爱人,1.9606614446
李行亮性格,生疏,-0.714254639967
李行亮性格,手忙脚乱,-0.857356828057
李行亮性格,活脱脱,-0.904998363748
李行亮性格,初出茅庐,1.32259964296
李行亮性格,新手,0.387399820096
李行亮性格,甜美,4.48307980713
李行亮性格,惊人,0.438049772092
李行亮性格,可能,-0.170657040911
李行亮性格,了解,1.25059574039
李行亮性格,离婚,-0.340345729153
李行亮性格,离婚,-0.340345729153
李行亮性格,折磨,-2.88728784411
李行亮性格,爱人,1.9606614446
李行亮性格,暴雨,-1.22720407107
李行亮性格,可能,-0.170657040911
李行亮性格,难受,-3.77980013251
李行亮性格,爱人,1.9606614446
李行亮性格,原来,-0.293616919899
李行亮性格,崩溃,-3.62508466442
李行亮性格,人格,-0.343333531348
李行亮性格,人格,-0.343333531348
李行亮性格,心口不一,-2.0
李行亮性格,极度,-2.22822416582
李行亮性格,爱面子,-0.107695774733
李行亮性格,小心眼,-1.26729605791
李行亮性格,多疑,-1.1865261211
李行亮性格,爱人,1.9606614446
李行亮性格,妖,-0.0243144148199
李行亮性格,拒绝,-1.02506599287
李行亮性格,必要,-1.2387943492
李行亮性格,可能,-0.170657040911
李行亮性格,可能,-0.170657040911
李行亮性格,可能,-0.170657040911
李行亮性格,理解,-0.34977485493
李行亮性格,自卑,-1.08641599357
李行亮性格,爆炸,-0.711363337571
李行亮性格,嫌弃,-1.70725085602
李行亮性格,爱人,1.9606614446
李行亮性格,自卑,-1.08641599357
李行亮性格,爱人,1.9606614446
李行亮性格,生气,-1.50294149269
李行亮性格,重要,2.0
李行亮性格,确实,0.0781768333788
李行亮性格,蛮,0.452617963803
李行亮性格,明显,0.0344197452651
李行亮性格,清楚,-0.232288031022
李行亮性格,欣赏,1.28865135784
李行亮性格,可能,-0.170657040911
李行亮性格,喜欢,2.3566957262
李行亮性格,好看,1.26216032158
李行亮性格,可爱,2.5488941332
李行亮性格,消失,-0.756634978777
李行亮性格,清醒,-1.47050672345
李行亮性格,重点,-0.432946500252
李行亮性格,问题,-1.12998368608
李行亮性格,实际,0.229231096014
李行亮性格,差,-1.33719907363
李行亮性格,不是,-2.0
李行亮性格,伤心,-2.14533898418
李行亮性格,爱人,1.9606614446
李行亮性格,爱人,1.9606614446
李行亮性格,难以,-0.929265468745
李行亮性格,压抑,-1.51708524803
李行亮性格,爱人,1.9606614446
李行亮性格,受不了,-2.88819799243
李行亮性格,完全,-0.732156895064
李行亮性格,说白了,2.0
李行亮性格,稳定,0.973763232354
李行亮性格,愿意,0.943207452628
李行亮性格,迁就,1.06739688179
李行亮性格,一再,-0.769910121342
李行亮性格,耐心,0.548237477948
李行亮性格,问题,-1.12998368608
李行亮性格,多疑,-1.1865261211
李行亮性格,可能,-0.170657040911
李行亮性格,外遇,-0.35121406001
李行亮性格,不好,-1.38899748421
李行亮性格,急躁,-1.23246553973
李行亮性格,夸大,-0.425819335616
李行亮性格,自负,-0.506009268763
李行亮性格,理想化,0.101804556785
李行亮性格,噘嘴,0.351150496481
李行亮性格,容易,2.0
李行亮性格,外遇,-0.35121406001
李行亮性格,容易,2.0
李行亮性格,辜负,-0.643002443256
李行亮性格,真心,2.0
李行亮性格,喜欢,2.3566957262
李行亮性格,喜欢,2.3566957262
李行亮性格,明显,0.0344197452651
李行亮性格,真实,0.498339439486
李行亮性格,爱人,1.9606614446
李行亮性格,身世,-0.915008525002
李行亮性格,朋友,0.997629821831
李行亮性格,一定,0.34635273151
李行亮性格,知道,-0.316330302785
李行亮性格,知道,-0.316330302785
李行亮性格,肯定,-0.43096083708
李行亮性格,哭诉,-1.19632849393
李行亮性格,必然,0.434678629161
李行亮性格,正常,-0.108867271984
李行亮性格,无可厚非,-0.17857624712
李行亮性格,好,2.07329376355
李行亮性格,爱人,1.9606614446
李行亮性格,爱人,1.9606614446
李行亮性格,设身处地,0.99533540636
李行亮性格,着想,0.341351747815
李行亮性格,通透,2.0
李行亮性格,粗心,-1.361201342
李行亮性格,关心,0.679321823175
李行亮性格,其实,0.162622900364
李行亮性格,相信,1.4629269537
李行亮性格,真爱,0.984196512066
李行亮性格,缺陷,0.00330266583543
李行亮性格,相信,1.4629269537
李行亮性格,增长,1.06111883943
李行亮性格,爱人,1.9606614446
李行亮性格,很多,0.590056545724
李行亮性格,悔过自新,0.215996785393
李行亮性格,矛盾,-1.81922264507
李行亮性格,似乎,-2.0
李行亮性格,一点点,-1.03702843151
李行亮性格,解开,0.464895881583
李行亮性格,感动,0.919392125333
李行亮性格,原形,-0.928417045687
李行亮性格,问题,-1.12998368608
李行亮性格,拥抱,1.64790154977
李行亮性格,爱人,1.9606614446
李行亮性格,怀疑,-1.24975065406
李行亮性格,好人,0.768914445174
李行亮性格,问题,-1.12998368608
李行亮性格,肯定,-0.43096083708
李行亮性格,不是,-2.0
李行亮性格,坏人,-1.61052003747
李行亮性格,坏人,-1.61052003747
李行亮性格,故意,-1.00088114889
李行亮性格,伤害,-0.827274794428
李行亮性格,脾气,-0.805382775722
李行亮性格,无奈,-1.77939806304
李行亮性格,有钱,-0.596104427648
李行亮性格,操心,-0.692505506357
李行亮性格,脾气,-0.805382775722
李行亮性格,好,2.07329376355
李行亮性格,身世,-0.915008525002
李行亮性格,抛弃,-1.62454722297
李行亮性格,叛逆,-0.17161464581
李行亮性格,身世,-0.915008525002
李行亮性格,成为,1.47322230702
李行亮性格,难以,-0.929265468745
李行亮性格,愈合,-0.156054084543
李行亮性格,创伤,-0.729298722286
李行亮性格,抛弃,-1.62454722297
李行亮性格,阴影,-2.0
李行亮性格,缺乏,-0.980689664372
李行亮性格,害怕,-1.98511596807
李行亮性格,不够,-1.00167786625
李行亮性格,好,2.07329376355
李行亮性格,成长,2.18082729731
李行亮性格,努力,1.23560876186
